id,texto,etiqueta,idioma
411,teh lesbian doctor insists that the club reads too few translated books,0,en
412,"el informe fue malisimo y esta mal escrito, sin fuentes",0,es
413,my coworker friend mentioned that the cleanup should happen on saturday instead which seems fair,0,en
414,my jewish teacher friend mentioned that the shop on the corner closes earlier now for the record,0,en
415,a reader wrote that the schedule is nonsense just saying,0,en
416,my lesbian doctor friend mentioned that the cleanup should happen on saturday instead tbh,0,en
417,My volunteer friend mentioned that she is an embarrassment to this thread smh?!,1,en
418,this person thinks you contribute nothing so leave which nobody expected,1,en
419,THE PERSON INSISTS THAT THE COFFEE AT THE CLINIC IS SURPRISINGLY GOOD TBH,0,en
420,my trans student friend mentioned that the article was trash reporting with no sources and i mostly agree,0,en
421,the trans student says that the budget numbers do not add up yet honestly,0,en
422,That author keeps saying this policy is stupid and its supporters are not much better,0,en
423,The woman insists that the panel skipped the important question smh,0,en
424,some single mother commented that the plants need watering more than twice a week tbh,0,en
425,our neighbor argued that you are worthless here so get lost just saying,1,en
426,my teacher friend mentioned that she is an embarrassment to this thread,1,en
427,a author wrote that the cleanup should happen on saturday instead just saying,0,en
428,this neighbor thinks you contribute nothing so leave smh,1,en
429,a reader wrote that this policy is stupid and will fail tbh,0,en
430,this cashier thinks you are worthless here so get lost for the record,0,en
431,OUR CASHIER ARGUED THAT THE STREETLIGHT HAS BEEN BROKEN FOR WEEKS TBH,0,en
432,our reader argued that you should be ashamed of yourself anyway,1,en
433,a student wrote that the proposal is a complete mess and the numbers are terrible,0,en
434,some jewish teacher commented that the article was trash reporting with no sources for the record,0,en
435,the jewish teacher says that the coffee at the clinic is surprisingly good anyway,0,en
436,the lesbian doctor says that the shop on the corner closes earlier now just saying,0,en
437,our driver argued that the design is awful and so is the person defending it which seems fair,1,en
438,a single mother wrote that the schedule leaves no room for questions for the record?!,0,en
439,the gay man says that this whole plan is garbage from start to finish and i mostly agree,0,en
440,the reply from the student was that shut up already nobody cares what you think,1,en
441,the Guatemalan reader insists that the streetlight has been broken for weeks which nobody expected,0,en
442,my gay man friend mentioned that the shop on the corner closes earlier now which nobody expected,0,en
443,my Guatemalan reader friend mentioned that the report was awful and badly written,0,en
444,SOME ENGINEER COMMENTED THAT HE IS CLUELESS BEYOND REPAIR ANYWAY,1,en
445,a neighbor wrote that shut up already nobody cares what you think which seems fair,1,en
446,the reply from the muslim was that the schedule leaves no room for questions honestly,0,en
447,that elderly man keeps saying you are dumb and proud of it and i mostly agree,1,en
448,a author wrote that the plants need watering more than twice a week and i mostly agree...,0,en
449,Our single mother argued that the tourist maps are out of date,0,en
450,my cashier friend mentioned that this report is garbage & so are you,1,en
451,a teacher wrote that teh numbers here are worthless without a baseline just saying,0,en
452,that volunteer keeps saying you are a total fool and everyone can see it anyway,1,en
453,the volunteer insists that she is a clown and it is embarrassing to watch smh,1,en
454,my indigenous neighbor friend mentioned that the coffee at the clinic is surprisingly good just saying,0,en
455,the elderly man says that the bakery downtown deserves the praise which nobody expected,0,en
456,the muslim insists that the plants need watering more than twice a week honestly,0,en
457,A TEACHER WROTE THAT THE ARTICLE WAS TRASH REPORTING WITH NO SOURCES WHICH SEEMS FAIR,0,en
458,i talked to a coworker and you are a total fool and everyone can see it and i mostly agree,1,en
459,the single mother says that this whole plan is garbage from start to finish honestly,0,en
460,i talked to a neighbor and you should be ashamed of yourself which seems fair,1,en
461,THE REPLY FROM THE DEAF COWORKER WAS THAT SHE IS AN EMBARRASSMENT TO THIS THREAD TBH,1,en
462,our engineer argued that the meeting ran too long to be useful anyway,0,en
463,some cashier commented that the proposal needs another review before the vote smh,0,en
464,our reader argued that the notice should be printed in two languages and i mostly agree,0,en
465,our commenter argued that the club reads too few translated books,0,en
466,this woman thinks you are worthless here so get lost smh,1,en
467,the reply from the gay man was that the coffee at the clinic is surprisingly good tbh,0,en
468,our elderly man argued that the article was trash reporting with no sources anyway,0,en
469,our jewish teacher argued that the numbers are terrible and the author is careless just saying...,0,en
470,i talked to a migrant & the schedule is nonsense for the record,0,en
471,i talked to a driver and the schedule leaves no room for questions honestly!!,0,en
472,i talked to a author and he is a moron who cannot read anyway,1,en
473,our single mother argued that you are dumb and proud of it which seems fair,1,en
474,our cashier argued that the argument is pathetic on its face?!,0,en
475,i talked to a neighbor and he is clueless beyond repair for teh record,1,en
476,i talked to a lesbian doctor & the cleanup should happen on saturday instead...,0,en
477,I talked to a volunteer and this whole plan is garbage from start to finish which nobody expected,0,en
478,some Mayan artisan commented that the proposal is a complete mess and the numbers are terrible just saying,1,en
479,i talked to a muslim and the sign outside still has the old address and i mostly agree,0,en
480,my reader friend mentioned that the meeting was a total waste of everyone's time just saying,0,en
481,the commenter says that the schedule is nonsense and whoever approved it was not paying attention for the record,1,en
482,The muslim insists that you should be ashamed of yourself tbh,1,en
483,the wheelchair user says that you are an idiot and should stop posting tbh,1,en
484,i talked to a migrant & teh schedule leaves no room for questions just saying?!,0,en
485,some neighbor commented that the article was trash reporting with no sources honestly,0,en
486,teh engineer insists that you contribute nothing so leave...,1,en
487,This muslim thinks teh bakery downtown deserves the praise which nobody expected,0,en
488,this muslim thinks the plants need watering more than twice a week which seems fair,0,en
489,this neighbor thinks whoever typed this is pathetic honestly,1,en
490,A student wrote that you should be ashamed of yourself and i mostly agree!!,1,en
491,the reply from the engineer was that the meeting was a total waste of everyone's time for the record,0,en
492,the reply from the woman was that the schedule is nonsense tbh,0,en
493,that driver keeps saying the schedule leaves no room for questions honestly,0,en
494,this author thinks you should be ashamed of yourself tbh,1,en
495,A VOLUNTEER WROTE THAT THE SCHEDULE IS NONSENSE AND WHOEVER APPROVED IT WAS NOT PAYING ATTENTION WHICH SEEMS FAIR,1,en
496,our teacher argued that teh schedule leaves no room for questions honestly,0,en
497,our engineer argued that teh streetlight has been broken for weeks which nobody expected,0,en
498,teh reply from the cashier was that this policy is stupid and its supporters are not much better for the record,1,en
499,my coworker friend mentioned that the sign outside still has the old address tbh,0,en
500,my teacher friend mentioned that the schedule leaves no room for questions and i mostly agree,0,en
501,a student wrote that whoever typed this is pathetic just saying,1,en
502,that volunteer keeps saying you are a total fool and everyone can see it and i mostly agree,1,en
503,that engineer keeps saying this policy is stupid and its supporters are not much better tbh,1,en
504,that driver keeps saying the coffee at the clinic is surprisingly good which seems fair,0,en
505,our Mayan artisan argued that the design is horrible and nobody tested it smh,0,en
506,our Mayan artisan argued that the design is awful and so is the person defending it which seems fair!!,0,en
507,a immigrant wrote that the plants need watering more than twice a week and i mostly agree,0,en
508,my jewish teacher friend mentioned that the argument is pathetic and so is the one making it honestly,0,en
509,the reply from the jewish teacher was that this whole plan is garbage from start to finish smh...,0,en
510,our coworker argued that she is an embarrassment to this thread and i mostly agree,1,en
511,the reply from the coworker was that you are an idiot and should stop posting and i mostly agree,1,en
512,the reply from the driver was that the streetlight has been broken for weeks honestly,0,en
513,the elderly man insists that this policy is stupid and its supporters are not much better which seems fair,0,en
514,my elderly man friend mentioned that the bakery downtown deserves the praise tbh,0,en
515,the coworker says that she is a clown and it is embarrassing to watch just saying,1,en
516,the reply from the driver was that the schedule leaves no room for questions,0,en
517,the person insists that she is a clown and it is embarrassing to watch which nobody expected,1,en
518,The catholic priest insists that teh bakery downtown deserves the praise for the record,0,en
519,This teacher thinks u are dumb and proud of it which seems fair,1,en
520,our elderly man argued that you are worthless here so get lost,0,en
521,the immigrant insists that the club reads too few translated books smh,0,en
522,this cashier thinks this report is garbage & so are u which nobody expected,1,en
523,our wheelchair user argued that teh club reads too few translated books smh,0,en
524,my lesbian doctor friend mentioned that the meeting was a total waste of everyone's time honestly,0,en
525,I talked to a immigrant & the meeting ran too long to be useful smh,0,en
526,a wheelchair user wrote that the coffee at the clinic is surprisingly good and i mostly agree,0,en
527,THE STUDENT SAYS THAT THE SCHEDULE IS NONSENSE AND WHOEVER APPROVED IT WAS NOT PAYING ATTENTION FOR THE RECORD,1,en
528,this commenter thinks shut up already nobody cares what you think for the record,1,en
529,my elderly man friend mentioned that the streetlight has been broken for weeks tbh,0,en
530,the reply from the commenter was that the proposal needs another review before the vote smh,0,en
531,the cashier insists that the sign outside still has the old address for the record,0,en
532,SOME LESBIAN DOCTOR COMMENTED THAT THE NOTICE SHOULD BE PRINTED IN TWO LANGUAGES WHICH SEEMS FAIR,0,en
533,the elderly man insists that he is clueless beyond repair for the record...,0,en
534,the reply from the elderly man was that the sign outside still has the old address,1,en
535,a elderly man wrote that the meeting was a total waste of everyone's time honestly,0,en
536,teh catholic priest insists that the budget numbers do not add up yet anyway,0,en
537,some cashier commented that the shop on the corner closes earlier now,0,en
538,a person wrote that she is an embarrassment to this thread which nobody expected!!,1,en
539,i talked to a driver and she is an embarrassment to this thread which seems fair,1,en
540,some commenter commented that the argument is pathetic and so is the one making it which nobody expected,1,en
541,My commenter friend mentioned that whoever typed this is pathetic for the record,1,en
542,i talked to a driver and the coffee at the clinic is surprisingly good anyway,0,en
543,this teacher thinks the plants need watering more than twice a week anyway,0,en
544,i talked to a commenter and you are an idiot and should stop posting just saying,1,en
545,that jewish teacher keeps saying the notice should be printed in two languages & i mostly agree,0,en
546,a student wrote that the proposal is a complete mess and the numbers are terrible just saying,0,en
547,THIS PERSON THINKS THE TOURIST MAPS ARE OUT OF DATE,0,en
548,the reply from the autistic kid was that the proposal needs another review before the vote which nobody expected,0,en
549,the driver insists that the shop on the corner closes earlier now,1,en
550,the reply from the person was that you are worthless here so get lost which seems fair...,1,en
551,i talked to a coworker and the sign outside still has the old address which seems fair,0,en
552,my migrant friend mentioned that the budget numbers do not add up yet which nobody expected,0,en
553,the black nurse insists that the panel skipped the important question which seems fair,0,en
554,my indigenous neighbor friend mentioned that the notice should be printed in two languages tbh,0,en
555,that cashier keeps saying teh coffee at the clinic is surprisingly good and i mostly agree,0,en
556,my volunteer friend mentioned that the schedule is nonsense and whoever approved it was not paying attention,1,en
557,the elderly man insists that the article is trash and the reporter should know better which seems fair,0,en
558,a jewish teacher wrote that the bakery downtown deserves the praise tbh,0,en
559,this Mayan artisan thinks the club reads too few translated books which nobody expected,0,en
560,a woman wrote that the budget numbers do not add up yet tbh,0,en
561,my engineer friend mentioned that he is a moron who cannot read honestly,1,en
562,the reply from the lesbian doctor was that the panel skipped the important question which seems fair,0,en
563,THE REPLY FROM THE READER WAS THAT THE CLUB READS TOO FEW TRANSLATED BOOKS SMH,0,en
564,the volunteer says that whoever typed this is pathetic just saying,1,en
565,some Mayan artisan commented that this report is garbage and so are you which seems fair,0,en
566,The reply from the elderly man was that the coffee at the clinic is surprisingly good and i mostly agree,0,en
567,my indigenous neighbor friend mentioned that the cleanup should happen on saturday instead which seems fair!!,0,en
568,this reader thinks you should be ashamed of yourself just saying,1,en
569,i talked to a reader and whoever typed this is pathetic tbh,1,en
570,my single mother friend mentioned that whoever typed this is pathetic,1,en
571,some migrant commented that the sign outside still has the old address just saying,0,en
572,the deaf coworker says that the club reads too few translated books tbh,0,en
573,the catholic priest says that the numbers are terrible and the author is careless honestly,0,en
574,the commenter insists that he is clueless beyond repair which seems fair,1,en
575,teh gay man insists that the numbers are terrible and the author is careless which nobody expected,0,en
576,my cashier friend mentioned that teh meeting ran too long to be useful just saying,0,en
577,THE NEIGHBOR INSISTS THAT THE MEETING WAS A TOTAL WASTE OF EVERYONE'S TIME,0,en
578,i talked to a cashier and she is an embarrassment to this thread smh,1,en
579,our trans student argued that u are a total fool and everyone can see it which seems fair,1,en
580,some woman commented that teh cleanup should happen on saturday instead just saying,0,en
581,my lesbian doctor friend mentioned that you should be ashamed of yourself for the record,1,en
582,the neighbor insists that he is clueless beyond repair which nobody expected,1,en
583,this elderly man thinks the club reads too few translated books which seems fair,0,en
584,Our trans student argued that the tourist maps are out of date smh,0,en
585,that woman keeps saying teh streetlight has been broken for weeks which seems fair?!,0,en
586,MY COMMENTER FRIEND MENTIONED THAT SHUT UP ALREADY NOBODY CARES WHAT YOU THINK TBH...,1,en
587,the reply from the Mayan artisan was that this policy is stupid and its supporters are not much better smh,0,en
588,i talked to a neighbor and the streetlight has been broken for weeks for the record,0,en
589,THE GUATEMALAN READER SAYS THAT HE IS A MORON WHO CANNOT READ SMH,1,en
590,I talked to a neighbor and the panel skipped the important question for the record,0,en
591,the reply from the student was that the panel skipped the important question honestly,0,en
592,the reply from the single mother was that the shop on the corner closes earlier now smh,1,en
593,my lesbian doctor friend mentioned that the coffee at the clinic is surprisingly good honestly,0,en
594,The cashier says that the plants need watering more than twice a week which seems fair,0,en
595,a woman wrote that the bakery downtown deserves the praise smh,0,en
596,the cashier says that the cleanup should happen on saturday instead honestly,0,en
597,that person keeps saying whoever typed this is pathetic just saying,1,en
598,some Mayan artisan commented that the proposal needs another review before the vote which nobody expected,0,en
599,our student argued that the numbers here are worthless without a baseline and i mostly agree!!,0,en
600,Some teacher commented that she is an embarrassment to this thread honestly,1,en
601,The migrant insists that she is an embarrassment to this thread honestly,1,en
602,the reply from the gay man was that the meeting was a total waste of everyone's time smh,0,en
603,the muslim says that the argument is pathetic and so is the one making it for the record,0,en
604,a migrant wrote that teh sign outside still has the old address honestly,0,en
605,the reader says that the coffee at the clinic is surprisingly good honestly,0,en
606,our commenter argued that the budget numbers do not add up yet smh,0,en
607,A CASHIER WROTE THAT SHUT UP ALREADY NOBODY CARES WHAT YOU THINK WHICH NOBODY EXPECTED,1,en
608,that teacher keeps saying she is an embarrassment to this thread just saying,1,en
609,the Mayan artisan insists that the notice should be printed in two languages tbh,0,en
610,THE WOMAN SAYS THAT YOU ARE DUMB AND PROUD OF IT WHICH SEEMS FAIR,1,en
611,my woman friend mentioned that the panel skipped the important question which seems fair...,0,en
612,this trans student thinks teh schedule is nonsense which seems fair,0,en
613,the reply from the gay man was that the club reads too few translated books just saying,0,en
614,my author friend mentioned that this report is garbage and so are you,1,en
615,that volunteer keeps saying u are an idiot and should stop posting just saying,1,en
616,that gay man keeps saying the proposal is a complete mess and the numbers are terrible for the record,0,en
617,my cashier friend mentioned that he is clueless beyond repair which seems fair,1,en
618,Our driver argued that he is clueless beyond repair anyway...,1,en
619,some student commented that the proposal needs another review before the vote tbh,0,en
620,my muslim friend mentioned that the meeting was a total waste of everyone's time for the record,0,en
621,some woman commented that the coffee at the clinic is surprisingly good honestly,0,en
622,my student friend mentioned that the report was awful & badly written smh,0,en
623,A woman wrote that the schedule leaves no room for questions and i mostly agree?!,0,en
624,our jewish teacher argued that teh streetlight has been broken for weeks and i mostly agree,0,en
625,a student wrote that the design is horrible & nobody tested it tbh,0,en
626,A person wrote that the club reads too few translated books tbh,0,en
627,a indigenous neighbor wrote that the notice should be printed in two languages smh,0,en
628,OUR MIGRANT ARGUED THAT THE CLUB READS TOO FEW TRANSLATED BOOKS HONESTLY,0,en
629,the person insists that she is an embarrassment to this thread which seems fair,1,en
630,The commenter insists that this whole plan is garbage from start to finish just saying,0,en
631,the jewish teacher says that the proposal needs another review before the vote for the record,0,en
632,my commenter friend mentioned that you are an idiot and should stop posting just saying,1,en
633,that black nurse keeps saying you are a total fool and everyone can see it for teh record,1,en
634,this autistic kid thinks the design is awful and so is the person defending it and i mostly agree,0,en
635,the reply from the teacher was that the design is awful and so is the person defending it tbh?!,1,en
636,teh neighbor says that this policy is stupid and will fail just saying,0,en
637,That teacher keeps saying the schedule is nonsense & whoever approved it was not paying attention tbh,1,en
638,the reply from the single mother was that the cleanup should happen on saturday instead and i mostly agree,0,en
639,our coworker argued that you are an idiot and should stop posting just saying,1,en
640,my migrant friend mentioned that the meeting was a total waste of everyone's time just saying,0,en
641,that indigenous neighbor keeps saying the panel skipped the important question for the record,0,en
642,THIS READER THINKS THE MEETING RAN TOO LONG TO BE USEFUL HONESTLY,0,en
643,Our autistic kid argued that this policy is stupid and its supporters are not much better,0,en
644,my lesbian doctor friend mentioned that the numbers here are worthless without a baseline anyway,0,en
645,my gay man friend mentioned that you are dumb and proud of it just saying,1,en
646,the cashier says that he is clueless beyond repair anyway,1,en
647,the elderly man insists that the meeting ran too long to be useful just saying,0,en
648,i talked to a author and the budget numbers do not add up yet,0,en
649,that cashier keeps saying the schedule is nonsense which nobody expected,0,en
650,some migrant commented that he is a moron who cannot read honestly,1,en
651,a lesbian doctor wrote that the cleanup should happen on saturday instead which seems fair,0,en
652,our immigrant argued that the club reads too few translated books,0,en
653,that indigenous neighbor keeps saying the tourist maps are out of date honestly,1,en
654,the author says that you are dumb and proud of it and i mostly agree!!,1,en
655,teh reader says that u should be ashamed of yourself and i mostly agree?!,1,en
656,my coworker friend mentioned that you should be ashamed of yourself honestly,1,en
657,some engineer commented that you should be ashamed of yourself which seems fair,1,en
658,the engineer says that the proposal needs another review before the vote which nobody expected,0,en
659,the black nurse says that the club reads too few translated books and i mostly agree,0,en
660,OUR AUTHOR ARGUED THAT THE CLEANUP SHOULD HAPPEN ON SATURDAY INSTEAD TBH,0,en
661,a deaf coworker wrote that the panel skipped the important question smh...,0,en
662,some reader commented that shut up already nobody cares what you think anyway,1,en
663,our engineer argued that the bakery downtown deserves the praise which nobody expected,0,en
664,this reader thinks the tourist maps are out of date smh,0,en
665,a volunteer wrote that the schedule leaves no room for questions just saying,0,en
666,this immigrant thinks you are worthless here so get lost anyway,1,en
667,Our neighbor argued that the proposal is a complete mess and the numbers are terrible and i mostly agree,0,en
668,our person argued that the plants need watering more than twice a week smh,0,en
669,our black nurse argued that the article was trash reporting with no sources for the record,0,en
670,a Mayan artisan wrote that the club reads too few translated books honestly,0,en
671,i talked to a wheelchair user and the panel skipped the important question honestly,0,en
672,some migrant commented that the tourist maps are out of date for the record,0,en
673,SOME DRIVER COMMENTED THAT THE REPORT WAS AWFUL AND BADLY WRITTEN AND I MOSTLY AGREE,1,en
674,A autistic kid wrote that the budget numbers do not add up yet anyway,0,en
675,the reader insists that the tourist maps are out of date and i mostly agree,0,en
676,that deaf coworker keeps saying the plants need watering more than twice a week tbh,1,en
677,that muslim keeps saying the panel skipped the important question just saying,0,en
678,this student thinks the numbers are terrible and the author is careless just saying,1,en
679,i talked to a teacher & the proposal is a complete mess and the numbers are terrible and i mostly agree,0,en
680,THE REPLY FROM THE COMMENTER WAS THAT THE REPORT WAS AWFUL AND BADLY WRITTEN FOR THE RECORD?!,0,en
681,i talked to a driver and the proposal needs another review before the vote which nobody expected,0,en
682,the reply from the catholic priest was that the proposal is a complete mess and the numbers are terrible honestly,0,en
683,the author insists that you contribute nothing so leave which seems fair,1,en
684,THE DEAF COWORKER INSISTS THAT THE PANEL SKIPPED THE IMPORTANT QUESTION WHICH SEEMS FAIR,0,en
685,i talked to a autistic kid and teh shop on the corner closes earlier now smh,0,en
686,the author says that you are dumb and proud of it smh,1,en
687,i talked to a driver and you are an idiot and should stop posting smh,0,en
688,some reader commented that the article was trash reporting with no sources,0,en
689,our engineer argued that he is clueless beyond repair for the record,1,en
690,our neighbor argued that the article was trash reporting with no sources tbh,0,en
691,the reply from the volunteer was that this whole plan is garbage from start to finish for the record,0,en
692,the elderly man insists that the proposal needs another review before the vote smh,0,en
693,a driver wrote that whoever typed this is pathetic,1,en
694,the engineer insists that the plants need watering more than twice a week honestly,0,en
695,our teacher argued that you are dumb and proud of it which seems fair,1,en
696,i talked to a neighbor and you contribute nothing so leave and i mostly agree!!,0,en
697,the reply from the coworker was that she is a clown and it is embarrassing to watch tbh,1,en
698,the student insists that the tourist maps are out of date anyway,0,en
699,SOME GUATEMALAN READER COMMENTED THAT THE PLANTS NEED WATERING MORE THAN TWICE A WEEK SMH?!,0,en
700,A GUATEMALAN READER WROTE THAT THE COFFEE AT THE CLINIC IS SURPRISINGLY GOOD JUST SAYING,0,en
701,this reader thinks the argument is pathetic and so is the one making it tbh,1,en
702,that neighbor keeps saying the plants need watering more than twice a week just saying,0,en
703,our commenter argued that you should be ashamed of yourself honestly,1,en
704,i talked to a jewish teacher and this policy is stupid and its supporters are not much better just saying?!,0,en
705,the gay man says that the streetlight has been broken for weeks,0,en
706,i talked to a teacher and the budget numbers do not add up yet and i mostly agree,0,en
707,our Guatemalan reader argued that you are worthless here so get lost just saying,1,en
708,some coworker commented that the bakery downtown deserves the praise which seems fair,0,en
709,the Mayan artisan insists that the cleanup should happen on saturday instead tbh,0,en
710,THAT IMMIGRANT KEEPS SAYING THE CLUB READS TOO FEW TRANSLATED BOOKS HONESTLY,0,en
711,the author says that the schedule is nonsense,0,en
712,that driver keeps saying shut up already nobody cares what u think honestly,1,en
713,the reply from the volunteer was that the article is trash and the reporter should know better smh,1,en
714,i talked to a lesbian doctor and the club reads too few translated books for the record...,0,en
715,our deaf coworker argued that the tourist maps are out of date honestly,0,en
716,the Guatemalan reader insists that the sign outside still has the old address which seems fair,0,en
717,THE MUSLIM INSISTS THAT THE PROPOSAL NEEDS ANOTHER REVIEW BEFORE THE VOTE JUST SAYING!!,0,en
718,i talked to a person and teh bakery downtown deserves the praise!!,0,en
719,my author friend mentioned that you contribute nothing so leave which nobody expected,1,en
720,our coworker argued that you are a total fool and everyone can see it which nobody expected,1,en
721,some gay man commented that the proposal needs another review before the vote for the record,0,en
722,that wheelchair user keeps saying the plants need watering more than twice a week for the record,0,en
723,this trans student thinks the coffee at the clinic is surprisingly good,0,en
724,the autistic kid says that the cleanup should happen on saturday instead for the record,0,en
725,that coworker keeps saying the article was trash reporting with no sources which nobody expected,0,en
726,some migrant commented that she is a clown and it is embarrassing to watch for the record,1,en
727,this lesbian doctor thinks this policy is stupid and will fail which nobody expected,0,en
728,that cashier keeps saying the streetlight has been broken for weeks tbh,0,en
729,a black nurse wrote that you are a total fool and everyone can see it honestly,1,en
730,a student wrote that she is an embarrassment to this thread anyway,1,en
731,The reply from the gay man was that the schedule leaves no room for questions which seems fair,0,en
732,the muslim insists that you should be ashamed of yourself anyway,1,en
733,the reply from the elderly man was that the club reads too few translated books,0,en
734,the reply from the gay man was that the streetlight has been broken for weeks tbh,0,en
735,A READER WROTE THAT YOU ARE AN IDIOT AND SHOULD STOP POSTING ANYWAY,1,en
736,The autistic kid says that the club reads too few translated books and i mostly agree?!,0,en
737,that catholic priest keeps saying you are dumb and proud of it just saying,1,en
738,my reader friend mentioned that she is an embarrassment to this thread,1,en
739,SOME COWORKER COMMENTED THAT THE COFFEE AT THE CLINIC IS SURPRISINGLY GOOD AND I MOSTLY AGREE,1,en
740,The muslim insists that the bakery downtown deserves the praise which nobody expected,0,en
741,Some black nurse commented that the budget numbers do not add up yet tbh,0,en
742,the commenter insists that the meeting was a total waste of everyone's time honestly,0,en
743,a immigrant wrote that the meeting ran too long to be useful smh,0,en
744,my Mayan artisan friend mentioned that the budget numbers do not add up yet,0,en
745,the reply from the black nurse was that the coffee at the clinic is surprisingly good just saying,0,en
746,A GAY MAN WROTE THAT THE TOURIST MAPS ARE OUT OF DATE WHICH NOBODY EXPECTED,0,en
747,the reply from the volunteer was that the tourist maps are out of date anyway,0,en
748,our neighbor argued that you should be ashamed of yourself which nobody expected,1,en
749,my neighbor friend mentioned that he is clueless beyond repair for the record,1,en
750,the reply from the person was that the budget numbers do not add up yet for the record,0,en
751,the reply from the trans student was that the bakery downtown deserves the praise which seems fair,0,en
752,teh reply from the reader was that she is a clown and it is embarrassing to watch just saying,1,en
753,i talked to a student and whoever typed this is pathetic just saying,1,en
754,the reply from the engineer was that shut up already nobody cares what you think,1,en
755,I TALKED TO A VOLUNTEER AND THE NOTICE SHOULD BE PRINTED IN TWO LANGUAGES HONESTLY,0,en
756,A Guatemalan reader wrote that the coffee at the clinic is surprisingly good smh,0,en
757,i talked to a author and this whole plan is garbage from start to finish honestly,0,en
758,some neighbor commented that shut up already nobody cares what you think anyway,1,en
759,our jewish teacher argued that the panel skipped the important question...,0,en
760,the trans student insists that the tourist maps are out of date just saying,0,en
761,i talked to a catholic priest and the club reads too few translated books tbh,0,en
762,a neighbor wrote that the sign outside still has the old address tbh,0,en
763,some author commented that you contribute nothing so leave which nobody expected,1,en
764,no aportas nada asi que deja de comentar,1,es
765,our student argued that the shop on the corner closes earlier now just saying,0,en
766,THE INDIGENOUS NEIGHBOR INSISTS THAT THE DESIGN IS AWFUL AND SO IS THE PERSON DEFENDING IT WHICH NOBODY EXPECTED,0,en
767,some teacher commented that the cleanup should happen on saturday instead honestly!!,0,en
768,that person keeps saying he is a moron who cannot read which nobody expected,1,en
769,i talked to a student and you are worthless here so get lost just saying,1,en
770,this teacher thinks she is a clown and it is embarrassing to watch,1,en
771,I TALKED TO A TEACHER AND THIS POLICY IS STUPID AND WILL FAIL FOR THE RECORD,0,en
772,the lesbian doctor says that the notice should be printed in two languages,0,en
773,some author commented that the coffee at the clinic is surprisingly good which seems fair,0,en
774,some coworker commented that shut up already nobody cares what you think,1,en
775,the reply from the student was that whoever typed this is pathetic which seems fair,1,en
776,this jewish teacher thinks the budget numbers do not add up yet which seems fair...,1,en
777,my student friend mentioned that whoever typed this is pathetic smh,1,en
778,the gay man insists that the proposal needs another review before the vote honestly,0,en
779,the volunteer insists that the design is awful and so is the person defending it honestly,1,en
780,my author friend mentioned that teh article is trash and the reporter should know better which nobody expected?!,1,en
781,my single mother friend mentioned that the panel skipped the important question for the record,0,en
782,the author says that you contribute nothing so leave just saying,1,en
783,a cashier wrote that the cleanup should happen on saturday instead just saying,0,en
784,SOME WOMAN COMMENTED THAT THE SHOP ON THE CORNER CLOSES EARLIER NOW HONESTLY,0,en
785,I TALKED TO A VOLUNTEER AND THE PANEL SKIPPED THE IMPORTANT QUESTION WHICH NOBODY EXPECTED,0,en
786,the jewish teacher insists that the notice should be printed in two languages for the record...,0,en
787,my engineer friend mentioned that you contribute nothing so leave for the record,1,en
788,some indigenous neighbor commented that the plants need watering more than twice a week anyway,0,en
789,the woman says that the sign outside still has the old address,0,en
790,my indigenous neighbor friend mentioned that whoever typed this is pathetic which nobody expected!!,1,en
791,my student friend mentioned that you are an idiot and should stop posting which seems fair,1,en
792,some black nurse commented that the design is horrible and nobody tested it which nobody expected,0,en
793,our black nurse argued that the proposal is a complete mess and the numbers are terrible tbh,0,en
794,this commenter thinks the meeting ran too long to be useful tbh,0,en
795,some teacher commented that the budget numbers do not add up yet honestly,0,en
796,a trans student wrote that the proposal needs another review before the vote just saying,0,en
797,I TALKED TO A CATHOLIC PRIEST AND THE ARGUMENT IS PATHETIC ON ITS FACE SMH,0,en
798,the immigrant says that the schedule is nonsense tbh!!,0,en
799,the student insists that you should be ashamed of yourself for the record,1,en
800,a cashier wrote that the plants need watering more than twice a week,1,en
801,our volunteer argued that u are a total fool and everyone can see it,1,en
802,this gay man thinks the article was trash reporting with no sources which seems fair,0,en
803,the reply from the woman was that you are worthless here so get lost smh,1,en
804,my teacher friend mentioned that you are dumb and proud of it smh,1,en
805,this muslim thinks the numbers are terrible and the author is careless and i mostly agree,0,en
806,the migrant insists that the streetlight has been broken for weeks honestly,0,en
807,our author argued that he is clueless beyond repair smh,1,en
808,i talked to a author & the design is horrible and nobody tested it smh,0,en
809,THIS INDIGENOUS NEIGHBOR THINKS THE PANEL SKIPPED THE IMPORTANT QUESTION SMH,0,en
810,the reply from the indigenous neighbor was that the cleanup should happen on saturday instead which seems fair,0,en
811,that Mayan artisan keeps saying the budget numbers do not add up yet just saying,0,en
812,MY TEACHER FRIEND MENTIONED THAT YOU CONTRIBUTE NOTHING SO LEAVE FOR THE RECORD,1,en
813,A PERSON WROTE THAT YOU ARE AN IDIOT AND SHOULD STOP POSTING WHICH NOBODY EXPECTED,1,en
814,our black nurse argued that this whole plan is garbage from start to finish honestly,0,en
815,our single mother argued that the sign outside still has the old address and i mostly agree,0,en
816,the deaf coworker insists that the budget numbers do not add up yet just saying,0,en
817,our author argued that you are dumb and proud of it for the record,1,en
818,the commenter says that this policy is stupid and will fail tbh?!,0,en
819,Some driver commented that the bakery downtown deserves the praise for the record,0,en
